evidence,variable,ceiling_kappa,speech_id,date,speaker,title,code_A,code_B,A_flagged_borderline,words_full,words_in_excerpt,text_file,note_A,note_B,resolved_code,rule_implication,rule_is_new
B saw excerpt only,uncertainty_attention,0.182,ecb_0496,2005-01-20,Otmar Issing,Monetary Policy Implementation: Lessons from the past and challenges ahead. Opening speech at the ECB Workshop,0,1,True,2144,2000,ecb_0496.txt,"Liquidity discussion concerns monetary-policy implementation rather than systemic financial stability; banknote/liquidity uncertainty is operational, not substantive macro outlook uncertainty.","Operational monetary-policy design and implementation are central; inflation is discussed as the policy objective, while financial-market functioning and uncertainty are substantive.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0623,2006-05-22,Otmar Issing,"Globalisation, emu and the euro",0,1,False,5181,2000,ecb_0623.txt,"Growth is substantively discussed as an outcome of globalization and structural reforms, but the excerpt does not establish a clear expected near/medium-term trajectory.","Globalisation and EMU are linked to growth prospects and financial risks; growth implications are predominantly positive, while inflation direction is mixed.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0834,2008-02-15,Jean-Claude Trichet,Structural reforms for the European economy,1,0,False,4040,2000,ecb_0834.txt,Inflation direction is coded upward because the excerpt stresses above-2% inflation and risk of future second-round wage/price effects. Growth discussion is structural rather than a clear expected cyclical trajectory.,"The speech is about structural reforms intended to raise employment, productivity and potential growth; inflation is not substantively discussed.",1,"Existing uncertainty rule: sustained emphasis on exceptional uncertainty, difficulty predicting outcomes, unusually wide risks, or materially uncertain economic prospects is uncertainty attention = 1.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_0923,2008-10-10,Lorenzo Bini Smaghi,The internationalisation of currencies - A central banking perspective,0,1,False,4199,2000,ecb_0923.txt,"Macro-financial implications are mentioned, but the excerpt does not substantively discuss financial-system risk/resilience in the coding-rule sense.",Currency internationalisation is analysed through monetary and financial channels; no dominant forward macro direction is sufficiently clear.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_1431,2012-11-23,Mario Draghi,Rationale and principles for Financial Union,0,1,False,2770,2000,ecb_1431.txt,Price stability is mentioned mainly as the ECB mandate/transmission objective; no substantive inflation-development discussion. Growth outlook is adverse: credit and economic growth are falling and the outlook is described as fragile.,Price stability appears as a policy objective/consequence rather than a clear inflation trajectory; real activity is described as weakening amid the crisis.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_1455,2013-02-07,Benoît Cœuré,Monetary Policy and Banking Supervision,0,1,False,3945,2000,ecb_1455.txt,"Inflation appears only in mandate/institutional trade-off discussion, not as substantive inflation developments.",Monetary policy and supervision are discussed jointly with substantive financial-stability concerns; no single macro directional outlook dominates.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_1546,2013-09-30,Yves Mersch,Towards a European Banking Union,0,1,False,3703,2000,ecb_1546.txt,Recent data explicitly say growth and job prospects are slowly improving; the financial-system discussion is extensive and systemic.,Banking union and the bank-sovereign nexus dominate; growth is discussed as an affected outcome but no single directional outlook dominates.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_1591,2014-01-30,Benoît Cœuré,Is eurozone governance fit for purpose?,0,1,False,2519,2000,ecb_1591.txt,Price stability is mentioned chiefly as the ECB mandate. The nascent recovery is explicitly weak and uneven; banking-sector trust and stability are substantive.,"Price stability is discussed, but not with a clear directional inflation forecast. The excerpt stresses a weak and uneven nascent recovery and high unemployment.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_1684,2014-11-21,Mario Draghi,Monetary policy in the euro area,0,1,False,2958,2000,ecb_1684.txt,Inflation is persistently weak with downside risk; a stronger recovery is explicitly described as unlikely. Banking fragmentation appears mainly as a monetary-transmission problem rather than a substantive financial-stability assessment.,"The supplied excerpt explicitly describes a difficult, fragile economic outlook and an increasingly challenging low-inflation environment, with financial fragmentation concerns.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_1899,2016-11-14,Peter Praet,Long-run saving and monetary policy,0,1,True,3044,2000,ecb_1899.txt,Inflation is substantive but no sufficiently explicit expected inflation path is given. The economy is described as recovering steadily and unemployment falling. Natural-rate estimation uncertainty is methodological rather than a broad outlook emphasis.,Inflation is expected to return toward the objective from low levels; real activity is discussed mainly as part of transmission/long-run saving mechanisms.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2108,2018-05-14,Benoît Cœuré,The future of central bank money,0,1,False,5233,2000,ecb_2108.txt,"Output and inflation are discussed substantively in policy simulations, but these are hypothetical effects rather than a current macroeconomic outlook, so both directional outlooks are neutral.","The future of central-bank money is analysed through payment-system and financial-system implications, with material risks/uncertainties.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2113,2018-05-17,Vítor Constâncio,Completing the Odyssean journey of the European monetary union,0,1,False,11177,2000,ecb_2113.txt,"Real activity and recessionary shocks are substantive to the institutional argument, but the forward macroeconomic trajectory is not clearly directional.",EMU completion is discussed against recovery and resilience; growth direction is favorable while inflation references do not yield a single dominant trajectory.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2128,2018-07-10,Sabine Lautenschläger,20 years of ESCB statistics: Past achievements and future challenges,0,1,True,2530,2000,ecb_2128.txt,The statement that statistics quantifies uncertainty is methodological and does not substantively emphasize uncertainty in the economic outlook.,Economic and financial statistics are discussed as inputs to policy and risk assessment rather than as a directional macro forecast.,0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2133,2018-09-06,Yves Mersch,Financial stability and the ECB,0,1,False,3842,2000,ecb_2133.txt,,"Financial stability is explicitly the central topic, including systemic risk, institutional design and uncertainty.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2259,2019-10-28,Mario Draghi,Farewell remarks,0,1,False,2420,2000,ecb_2259.txt,"Inflation/deflation and growth are substantively discussed, but largely retrospectively and institutionally; no sufficiently clear forward directional path in the supplied excerpt.","The retrospective contrasts the crisis with a much stronger economy and discusses remaining risks; forward growth emphasis is favorable, inflation direction is not one-sided.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2323,2020-07-13,Fabio Panetta,Pursuing a successful path towards euro area accession,0,1,False,2212,2000,ecb_2323.txt,,"Accession/convergence discussion contains substantive macro prospects and risks; growth direction is favorable, while inflation direction is not unambiguously dominant.",0,"Repaired uncertainty exclusion: technical, operational, legal, credit, settlement, and financial-system risks are not uncertainty attention merely because they are called risks; uncertainty/unpredictability about economic outcomes must be substantively emphasized.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2337,2020-09-28,Isabel Schnabel,When markets fail – the need for collective action in tackling climate change,0,1,False,3548,2000,ecb_2337.txt,Price stability is mentioned only once in explaining relevance to the ECB. Climate risks are expected to reduce GDP materially; financial vulnerabilities from delayed transition are substantive.,"Climate change is treated as a market failure with prospective inflationary/price pressures, adverse output effects, financial risks and high uncertainty.",1,"Existing uncertainty rule: sustained emphasis on exceptional uncertainty, difficulty predicting outcomes, unusually wide risks, or materially uncertain economic prospects is uncertainty attention = 1.",no
B saw excerpt only,uncertainty_attention,0.182,ecb_2717,2025-06-11,Christine Lagarde,Drawing a common map: sustaining global cooperation in a fragmenting world,0,1,False,3348,2000,ecb_2717.txt,"Growth/output is discussed materially in the historical and structural account of global trade, but no clear forward real-activity trajectory is established.",Fragmentation/geoeconomic shocks are linked to weaker activity and substantial uncertainty; inflation effects are discussed as ambiguous/two-sided.,0,"Uncertainty threshold: acknowledged, intrinsic, methodological, or routine forecast uncertainty is insufficient. Code uncertainty = 1 only when unpredictability, unusually wide outcomes, exceptional uncertainty, or uncertainty surrounding the economic outlook is itself emphasized or materially shapes the economic/policy argument.",yes
B saw excerpt only,growth_attention,0.5,ecb_0051,1999-06-17,Otmar Issing,The ECB and its watchers,0,1,False,11300,2000,ecb_0051.txt,"Inflation is discussed substantively in monetary-policy design, but not as a specific current directional outlook. Uncertainty is a central theme.",The speech concerns ECB strategy and policy under uncertainty; macro variables are substantive but no dominant directional trajectory is clear.,1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_0156,2000-09-23,Willem F. Duisenberg,The role of the ECB at the international level,0,1,False,3451,2000,ecb_0156.txt,Financial stability is substantively discussed in the context of international cooperation and contagion; price stability references are mainly mandate-related.,International central-bank cooperation and crisis prevention are discussed through financial stability; activity effects are substantive but not directionally dominant.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,growth_attention,0.5,ecb_0164,2000-10-28,Willem F. Duisenberg,Europe's contribution to the stability of financial markets,0,1,False,2072,2000,ecb_0164.txt,"Inflation expectations are substantively discussed as part of financial-market stability, but no directional forward inflation path is given.",The speech focuses on Europe’s role in financial-market stability and crisis prevention; activity effects are substantive but not directionally dominant.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,growth_attention,0.5,ecb_0317,2002-12-09,Otmar Issing,Monetary policy in a world of uncertainty,0,1,False,3765,2000,ecb_0317.txt,"Inflation processes and uncertainty about future inflation are substantive, but the speech is methodological and does not give a directional current inflation outlook.","Uncertainty is a central theme of monetary-policy analysis; both inflation and activity are substantive, but the directional outlook is deliberately conditional.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_0418,2004-05-10,Otmar Issing,"Financial Integration, Asset Prices and Monetary Policy",0,1,False,2287,2000,ecb_0418.txt,"Inflation/deflation and asset-price transmission are substantive, but hypothetical/conceptual. Asset-price risks are discussed without a sufficiently explicit systemic financial-stability framing.","The speech substantively links asset prices, monetary policy and financial risks, but the supplied excerpt does not establish a single dominant forward trajectory for inflation or activity.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_0484,2004-12-03,Gertrude Tumpel-Gugerell,Exchange rate moves in a global economy: a central banking perspective,0,1,True,3187,2000,ecb_0484.txt,Prices and GDP appear mainly as variables affected by exchange rates; there is no substantive inflation or real-activity outlook discussion.,"Exchange-rate movements are analysed through inflation, activity and financial channels, with substantial uncertainty but no single dominant macro trajectory.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_0827,2008-01-24,Lorenzo Bini Smaghi,The economic governance of the European Union in the light of the Treaty of Lisbon: harmonisation or competition between countries?,0,1,False,3194,2000,ecb_0827.txt,,"EU economic governance is linked to long-run growth and stability; growth implications are predominantly positive, while inflation is not directionally clear.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,growth_attention,0.5,ecb_0923,2008-10-10,Lorenzo Bini Smaghi,The internationalisation of currencies - A central banking perspective,0,1,False,4199,2000,ecb_0923.txt,"Macro-financial implications are mentioned, but the excerpt does not substantively discuss financial-system risk/resilience in the coding-rule sense.",Currency internationalisation is analysed through monetary and financial channels; no dominant forward macro direction is sufficiently clear.,1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_1455,2013-02-07,Benoît Cœuré,Monetary Policy and Banking Supervision,0,1,False,3945,2000,ecb_1455.txt,"Inflation appears only in mandate/institutional trade-off discussion, not as substantive inflation developments.",Monetary policy and supervision are discussed jointly with substantive financial-stability concerns; no single macro directional outlook dominates.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,growth_attention,0.5,ecb_1819,2016-03-01,Sabine Lautenschläger,"Navigating uncertainty - governance, risk management and leveraged finance",0,1,True,2638,2000,ecb_1819.txt,"Weak growth/investment are cited as one source of market concern, but real activity is not itself developed enough to count as substantive growth discussion. Uncertainty and banking-sector risk management are central.","Weak global growth/investment, volatile bank prices, leveraged-finance and risk-management concerns dominate; uncertainty is explicitly central.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,growth_attention,0.5,ecb_2108,2018-05-14,Benoît Cœuré,The future of central bank money,1,0,False,5233,2000,ecb_2108.txt,"Output and inflation are discussed substantively in policy simulations, but these are hypothetical effects rather than a current macroeconomic outlook, so both directional outlooks are neutral.","The future of central-bank money is analysed through payment-system and financial-system implications, with material risks/uncertainties.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_2128,2018-07-10,Sabine Lautenschläger,20 years of ESCB statistics: Past achievements and future challenges,0,1,False,2530,2000,ecb_2128.txt,The statement that statistics quantifies uncertainty is methodological and does not substantively emphasize uncertainty in the economic outlook.,Economic and financial statistics are discussed as inputs to policy and risk assessment rather than as a directional macro forecast.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,growth_attention,0.5,ecb_2285,2020-01-08,Luis de Guindos,Europe’s role in the global financial system,0,1,False,2658,2000,ecb_2285.txt,Future EU-UK financial relations and associated stability risks are substantively uncertain.,The global financial system and Europe’s role are central; activity implications are discussed but direction is conditional/mixed.,1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,growth_attention,0.5,ecb_2323,2020-07-13,Fabio Panetta,Pursuing a successful path towards euro area accession,0,1,False,2212,2000,ecb_2323.txt,,"Accession/convergence discussion contains substantive macro prospects and risks; growth direction is favorable, while inflation direction is not unambiguously dominant.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0161,2000-10-16,Sirkka Hämäläinen,The single currency and European integration,0,1,False,3514,2000,ecb_0161.txt,"Growth is discussed historically/structurally, without a sufficiently clear forward expected trajectory.",European integration and the single currency are linked to favorable growth/efficiency prospects; inflation appears mainly in stability-policy discussion.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0164,2000-10-28,Willem F. Duisenberg,Europe's contribution to the stability of financial markets,1,0,False,2072,2000,ecb_0164.txt,"Inflation expectations are substantively discussed as part of financial-market stability, but no directional forward inflation path is given.",The speech focuses on Europe’s role in financial-market stability and crisis prevention; activity effects are substantive but not directionally dominant.,1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0214,2001-06-29,Christian Noyer,The euro area: a collection of countries or a single economic entity?,0,1,False,3471,2000,ecb_0214.txt,The speaker explicitly states optimism about long-term growth and employment prospects.,Inflation is discussed mainly in institutional/price-stability terms; no sufficiently clear directional inflation trajectory. Long-run real prospects are explicitly optimistic.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0484,2004-12-03,Gertrude Tumpel-Gugerell,Exchange rate moves in a global economy: a central banking perspective,0,1,True,3187,2000,ecb_0484.txt,Prices and GDP appear mainly as variables affected by exchange rates; there is no substantive inflation or real-activity outlook discussion.,"Exchange-rate movements are analysed through inflation, activity and financial channels, with substantial uncertainty but no single dominant macro trajectory.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0496,2005-01-20,Otmar Issing,Monetary Policy Implementation: Lessons from the past and challenges ahead. Opening speech at the ECB Workshop,0,1,False,2144,2000,ecb_0496.txt,"Liquidity discussion concerns monetary-policy implementation rather than systemic financial stability; banknote/liquidity uncertainty is operational, not substantive macro outlook uncertainty.","Operational monetary-policy design and implementation are central; inflation is discussed as the policy objective, while financial-market functioning and uncertainty are substantive.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0623,2006-05-22,Otmar Issing,"Globalisation, emu and the euro",0,1,False,5181,2000,ecb_0623.txt,"Growth is substantively discussed as an outcome of globalization and structural reforms, but the excerpt does not establish a clear expected near/medium-term trajectory.","Globalisation and EMU are linked to growth prospects and financial risks; growth implications are predominantly positive, while inflation direction is mixed.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0827,2008-01-24,Lorenzo Bini Smaghi,The economic governance of the European Union in the light of the Treaty of Lisbon: harmonisation or competition between countries?,0,1,False,3194,2000,ecb_0827.txt,,"EU economic governance is linked to long-run growth and stability; growth implications are predominantly positive, while inflation is not directionally clear.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0834,2008-02-15,Jean-Claude Trichet,Structural reforms for the European economy,1,0,False,4040,2000,ecb_0834.txt,Inflation direction is coded upward because the excerpt stresses above-2% inflation and risk of future second-round wage/price effects. Growth discussion is structural rather than a clear expected cyclical trajectory.,"The speech is about structural reforms intended to raise employment, productivity and potential growth; inflation is not substantively discussed.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0923,2008-10-10,Lorenzo Bini Smaghi,The internationalisation of currencies - A central banking perspective,0,1,False,4199,2000,ecb_0923.txt,"Macro-financial implications are mentioned, but the excerpt does not substantively discuss financial-system risk/resilience in the coding-rule sense.",Currency internationalisation is analysed through monetary and financial channels; no dominant forward macro direction is sufficiently clear.,1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0944,2008-11-21,José Manuel González-Páramo,"The financial market crisis, uncertainty and policy responses",1,0,False,4139,2000,ecb_0944.txt,The crisis brings extraordinary uncertainty; weakening demand and rate cuts reflect downward growth and price-stability pressures.,"The crisis, systemic stress and uncertainty dominate; real activity is deteriorating. Inflation is not substantively developed in the supplied excerpt.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_0988,2009-04-17,Jean-Claude Trichet,Restoring confidence in the global financial system,1,0,False,3083,2000,ecb_0988.txt,The excerpt describes rapidly receding inflationary pressures and an acute downturn/weak recovery prospects. Financial crisis and uncertainty over losses/earnings are substantive.,"The global financial crisis, systemic risk and policy response dominate; real activity is adversely affected and uncertainty is substantive.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_1431,2012-11-23,Mario Draghi,Rationale and principles for Financial Union,0,1,True,2770,2000,ecb_1431.txt,Price stability is mentioned mainly as the ECB mandate/transmission objective; no substantive inflation-development discussion. Growth outlook is adverse: credit and economic growth are falling and the outlook is described as fragile.,Price stability appears as a policy objective/consequence rather than a clear inflation trajectory; real activity is described as weakening amid the crisis.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_1455,2013-02-07,Benoît Cœuré,Monetary Policy and Banking Supervision,0,1,True,3945,2000,ecb_1455.txt,"Inflation appears only in mandate/institutional trade-off discussion, not as substantive inflation developments.",Monetary policy and supervision are discussed jointly with substantive financial-stability concerns; no single macro directional outlook dominates.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_1591,2014-01-30,Benoît Cœuré,Is eurozone governance fit for purpose?,0,1,True,2519,2000,ecb_1591.txt,Price stability is mentioned chiefly as the ECB mandate. The nascent recovery is explicitly weak and uneven; banking-sector trust and stability are substantive.,"Price stability is discussed, but not with a clear directional inflation forecast. The excerpt stresses a weak and uneven nascent recovery and high unemployment.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_2108,2018-05-14,Benoît Cœuré,The future of central bank money,1,0,False,5233,2000,ecb_2108.txt,"Output and inflation are discussed substantively in policy simulations, but these are hypothetical effects rather than a current macroeconomic outlook, so both directional outlooks are neutral.","The future of central-bank money is analysed through payment-system and financial-system implications, with material risks/uncertainties.",1,"Attention measures whether a construct is substantively analysed, not whether the speech gives a current forecast. A developed conceptual, historical, or simulation-based treatment can therefore receive attention = 1 even when the associated outlook is 0.",yes
B saw excerpt only,inflation_attention,0.636,ecb_2113,2018-05-17,Vítor Constâncio,Completing the Odyssean journey of the European monetary union,0,1,False,11177,2000,ecb_2113.txt,"Real activity and recessionary shocks are substantive to the institutional argument, but the forward macroeconomic trajectory is not clearly directional.",EMU completion is discussed against recovery and resilience; growth direction is favorable while inflation references do not yield a single dominant trajectory.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_2128,2018-07-10,Sabine Lautenschläger,20 years of ESCB statistics: Past achievements and future challenges,0,1,False,2530,2000,ecb_2128.txt,The statement that statistics quantifies uncertainty is methodological and does not substantively emphasize uncertainty in the economic outlook.,Economic and financial statistics are discussed as inputs to policy and risk assessment rather than as a directional macro forecast.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
B saw excerpt only,inflation_attention,0.636,ecb_2202,2019-03-27,Luis de Guindos,International spillovers of monetary policy and financial stability concerns,0,1,False,2691,2000,ecb_2202.txt,Growth projections are revised down and risks are tilted down; financial-stability concerns and uncertainty are central.,International monetary-policy spillovers and financial-stability concerns dominate; macro directional effects are conditional and mixed.,0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
